step,t,n_source_events,n_context_events,n_ingested_source,n_ingested_context,n_pruned_source,n_pruned_context,attention_n1,attention_n2,attention_n3,attention_n4,attention_n5,attention_n6,share_n1,share_n2,share_n3,share_n4,share_n5,share_n6,top1_neuron,top1_attention,top1_share,top1_margin
0,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
1,0.020000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
2,0.040000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
3,0.060000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
4,0.080000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
5,0.100000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
6,0.120000,0,1,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
7,0.140000,1,1,1,0,0,0,0.000000,0.740818,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,0.740818,1.000000,1.000000
8,0.160000,1,2,0,1,0,0,0.000000,0.740818,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,0.740818,1.000000,1.000000
9,0.180000,1,2,0,0,0,0,0.000000,0.740818,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,0.740818,1.000000,1.000000
10,0.200000,1,2,0,0,0,0,0.000000,0.740818,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,0.740818,1.000000,1.000000
11,0.220000,1,2,0,0,0,0,0.000000,0.740818,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2,0.740818,1.000000,1.000000
12,0.240000,2,2,1,0,0,0,0.000000,0.740818,0.060832,0.000000,0.000000,0.000000,0.000000,0.924117,0.075883,0.000000,0.000000,0.000000,2,0.740818,0.924117,0.848234
13,0.260000,2,3,0,1,0,0,0.000000,1.070929,0.060832,0.000000,0.000000,0.000000,0.000000,0.946250,0.053750,0.000000,0.000000,0.000000,2,1.070929,0.946250,0.892501
14,0.280000,3,3,1,0,0,0,0.000000,1.992915,0.060832,0.000000,0.000000,0.000000,0.000000,0.970380,0.029620,0.000000,0.000000,0.000000,2,1.992915,0.970380,0.940760
15,0.300000,3,4,0,1,0,0,0.000000,1.992915,0.121159,0.000000,0.000000,0.000000,0.000000,0.942689,0.057311,0.000000,0.000000,0.000000,2,1.992915,0.942689,0.885379
16,0.320000,3,4,0,0,0,0,0.000000,1.992915,0.121159,0.000000,0.000000,0.000000,0.000000,0.942689,0.057311,0.000000,0.000000,0.000000,2,1.992915,0.942689,0.885379
17,0.340000,3,4,0,0,0,0,0.000000,1.992915,0.121159,0.000000,0.000000,0.000000,0.000000,0.942689,0.057311,0.000000,0.000000,0.000000,2,1.992915,0.942689,0.885379
18,0.360000,3,4,0,0,0,0,0.000000,1.992915,0.121159,0.000000,0.000000,0.000000,0.000000,0.942689,0.057311,0.000000,0.000000,0.000000,2,1.992915,0.942689,0.885379
19,0.380000,4,4,1,0,0,0,0.000000,1.992915,0.196867,0.000000,0.000000,0.000000,0.000000,0.910097,0.089903,0.000000,0.000000,0.000000,2,1.992915,0.910097,0.820195
