t,stream,neuron_id,value,role
0.10283282,context,2,1.0,pattern
0.13283281,source,2,1.0,pattern
0.15364856,context,3,0.35,background
0.22364855,source,3,0.35,background
0.24366564,context,2,1.0,pattern
0.27366564,source,2,1.0,pattern
0.29448137,context,3,0.35,background
0.36448136,source,3,0.35,background
0.40849847,context,2,1.0,pattern
0.43849847,source,2,1.0,pattern
0.4593142,context,4,0.35,background
0.5293142,source,4,0.35,background
0.54933125,context,2,1.0,pattern
0.5793312,source,2,1.0,pattern
0.600147,context,5,0.35,background
0.670147,source,5,0.35,background
0.69016415,context,2,1.0,pattern
0.7201641,source,2,1.0,pattern
0.7409798,context,6,0.35,background
0.8109798,source,6,0.35,background
0.8549969,context,2,1.0,pattern
0.8849969,source,2,1.0,pattern
0.9058127,context,1,0.35,background
0.9758127,source,1,0.35,background
0.9958297,context,2,1.0,pattern
1.0258297,source,2,1.0,pattern
1.0466455,context,3,0.35,background
1.1166456,source,3,0.35,background
1.2114784,context,3,0.35,background
1.2814784,source,3,0.35,background
1.3106626,context,5,1.0,pattern
1.3406626,source,5,1.0,pattern
1.3523111,context,4,0.35,background
1.4223112,source,4,0.35,background
1.4514954,context,5,1.0,pattern
1.4814954,source,5,1.0,pattern
1.4931439,context,6,0.35,background
1.563144,source,6,0.35,background
1.5923283,context,5,1.0,pattern
1.6223283,source,5,1.0,pattern
1.6579767,context,6,0.35,background
1.7279768,source,6,0.35,background
1.7571611,context,5,1.0,pattern
1.7871611,source,5,1.0,pattern
1.7988096,context,1,0.35,background
1.8688097,source,1,0.35,background
1.8979939,context,5,1.0,pattern
1.9279939,source,5,1.0,pattern
1.9396424,context,2,0.35,background
2.0096424,source,2,0.35,background
2.0388267,context,5,1.0,pattern
2.0688267,source,5,1.0,pattern
2.1044753,context,3,0.35,background
2.1744752,source,3,0.35,background
2.2036595,context,5,1.0,pattern
2.2336595,source,5,1.0,pattern
2.245308,context,4,0.35,background
2.3153079,source,4,0.35,background
2.410141,context,5,0.35,background
2.480141,source,5,0.35,background
2.4944923,context,3,1.0,pattern
2.5244923,source,3,1.0,pattern
2.550974,context,6,0.35,background
2.6209738,source,6,0.35,background
2.6593251,context,3,1.0,pattern
2.689325,source,3,1.0,pattern
2.6918066,context,1,0.35,background
2.7618065,source,1,0.35,background
2.8001578,context,3,1.0,pattern
2.8301578,source,3,1.0,pattern
2.8566394,context,2,0.35,background
2.9266393,source,2,0.35,background
2.9409907,context,3,1.0,pattern
2.9709907,source,3,1.0,pattern
2.997472,context,4,0.35,background
3.067472,source,4,0.35,background
3.1058235,context,3,1.0,pattern
3.1358235,source,3,1.0,pattern
3.138305,context,4,0.35,background
3.208305,source,4,0.35,background
3.2466564,context,3,1.0,pattern
3.2766564,source,3,1.0,pattern
3.3031378,context,5,0.35,background
3.3731377,source,5,0.35,background
3.4114892,context,3,1.0,pattern
3.4414892,source,3,1.0,pattern
3.4439704,context,6,0.35,background
3.5139704,source,6,0.35,background
3.6088035,context,1,0.35,background
3.6788034,source,1,0.35,background
3.702322,context,6,1.0,pattern
3.732322,source,6,1.0,pattern
3.7496364,context,2,0.35,background
3.8196363,source,2,0.35,background
3.843155,context,6,1.0,pattern
3.8731549,source,6,1.0,pattern
3.890469,context,3,0.35,background
3.960469,source,3,0.35,background
4.0079875,context,6,1.0,pattern
4.0379877,source,6,1.0,pattern
4.055302,context,4,0.35,background
4.1253023,source,4,0.35,background
4.1488204,context,6,1.0,pattern
4.1788206,source,6,1.0,pattern
4.196135,context,5,0.35,background
4.266135,source,5,0.35,background
4.2896533,context,6,1.0,pattern
4.3196535,source,6,1.0,pattern
4.3609676,context,1,0.35,background
4.430968,source,1,0.35,background
4.454486,context,6,1.0,pattern
4.484486,source,6,1.0,pattern
4.5018,context,1,0.35,background
4.5718,source,1,0.35,background
4.595319,context,6,1.0,pattern
4.625319,source,6,1.0,pattern
4.642633,context,2,0.35,background
4.712633,source,2,0.35,background
